Districts,Population,Population density,Tourist place,Literacy rate,Industry,Quanterine,Isolation service unit,Total affected,Class
Dhaka,12043977,8229,11,70.5,2604,1002,221,1216,Seveare
Faridpur,1912969,932,5,49,457,1735,45,6,Low
Gazipur ,3403912,1884,4,62.6,1773,2911,35,269,Seveare
Gopalganj,1172415,798,4,58.1,6,1002,26,30,Medium
Jamalpur,2292674,1084,6,38.4,385,811,10,21,Low
Kishoreganj,2911107,1083,10,40.9,1614,1939,293,146,Seveare
Madaripur,1165952,1036,4,48,312,1262,15,25,Low
Manikganj,1392867,1007,5,49.2,275,1120,63,7,Low
Munshiganj,1445660,3674,10,56.1,500,750,27,33,Medium
Mymensingh,5110272,1163,10,43.5,1295,1479,101,33,Medium
Narayanganj,2948217,5266,4,57.1,10085,565,120,387,Seveare
Narsingdi,2224944,1934,4,49.6,2218,1248,39,135,Seveare
Netrokona,2229642,798,7,39.4,1129,744,85,14,Low
Rajbari,1049778,961,3,52.3,30,770,35,8,Low
Shariatpur,1155824,984,3,47.3,162,428,60,8,Low
Sherpur,1358325,1028,4,37.9,425,155,205,13,Low
Tangail,3605083,1056,14,46.8,1184,3154,127,10,Low
Barguna,892781,488,2,57.6,320,482,80,12,Low
Barisal,2324310,840,9,61.2,940,555,237,24,Low
Bhola,1776765,522,2,43.2,535,365,195,0,Low
Jhalokati,682669,966,2,66.7,88,326,8,4,Low
Patuakhali,1535854,477,6,54.1,479,868,42,2,Low
Pirojpur,1113257,871,3,64.9,493,847,25,5,Low
Bandarban,388335,87,5,31.7,40,206,35,1,Low
Brahmanbaria,2840498,1510,9,45.3,655,3917,44,11,Low
Chandpur,2416014,1468,6,84,580,1225,60,10,Low
Chittagong,7616352,1442,16,58.9,1513,996,279,43,Medium
Comilla,5387288,1712,7,53.3,2663,3047,18,21,Low
Cox's Bazar,2289990,919,12,39.3,144,676,177,1,Low
Feni,1437371,1451,13,59.6,57,1160,40,2,Low
Khagrachhari,613917,223,13,46.1,338,203,53,0,Low
Lakshmipur,1729188,1200,13,49.4,110,3226,100,25,Low
Noakhali,3108083,843,14,51.3,291,1563,41,4,Low
Rangamati,595979,97,7,49.7,450,240,238,0,Low
Bagerhat,1476090,373,7,59,287,2576,123,2,Low
Chuadanga,1129015,962,4,45.9,307,565,70,1,Low
Jessore,2764547,1060,6,56.5,1617,2778,81,1,Low
Jhenaidaha,1771304,902,6,48.4,1200,1010,58,0,Low
Khulna,2318527,528,8,60.1,599,2032,57,3,Low
Kushtia,1676906,1082,5,46.3,1495,616,109,0,Low
Magura,918419,884,2,50.6,182,742,65,0,Low
Meherpur,655392,2641,3,46.3,274,768,35,0,Low
Narail,721668,746,4,61.3,401,620,10,2,Low
Satkhira,1985959,520,3,52.1,566,3464,86,0,Low
Bogra,3400874,1173,5,49.4,1380,1123,168,1,Low
Joypurhat,913768,903,4,57.5,873,514,160,2,Low
Naogaon,2600157,757,6,48.2,1507,2230,176,1,Low
Natore,1706673,898,5,49.6,644,441,45,0,Low
Chapai Nawabganj,1647521,968,3,42.9,627,1523,16,0,Low
Pabna,2523179,1062,18,46.7,666,1267,91,2,Low
Rajshahi,2595197,1070,7,53,1188,1242,95,5,Low
Sirajganj,3097489,1290,14,42.1,637,1117,32,1,Low
Dinajpur,2990128,868,9,52.4,1709,1490,45,11,Low
Gaibandha,2379255,1125,7,42.8,2065,1318,141,13,Low
Kurigram,2069273,922,8,42.5,482,499,27,2,Low
Lalmonirhat,1256099,1007,5,46.1,153,198,18,2,Low
Nilphamari,1834231,1186,3,44.4,403,1304,129,9,Low
Panchagarh,987644,703,2,51.8,250,1142,37,1,Low
Rangpur,2881087,1200,3,48.5,1323,466,18,6,Low
Thakurgaon,1390042,780,4,48.7,137,697,17,6,Low
Habiganj,2089001,792,7,40.5,861,1186,139,1,Low
Maulvi Bazar,1919062,686,6,51.1,152,1125,138,2,Low
Sunamganj,2467968,659,6,35,660,1624,135,1,Low
 Sylhet,3434188,995,5,51.2,781,791,511,4,Low
